colorPlate_coffeMensa_5807  << 5.59479e-05, 0.000593669, 0.00327295, 0.00587764, 0.00921275, 0.0137663, 0.0196128, 0.0271782, 0.0363444, 0.044951, 0.0557925, 0.0682533, 0.0875895, 0.115638, 0.152909, 0.185386, 0.128239, 0.0453271, 0.0641442, 0.0741558, 0.0868249, 0.101082, 0.12983, 0.129522, 0.126246, 0.126483, 0.128431, 0.0252698, 0.00381378, 0.00137072, 0.000811244, 0.000556371, 0.000484882, 0.000345012, 0.00034812, 0.000279739, 1, 0, 0
colorPlate_spearmint_6193  << 1.06268e-05, 0.000371939, 0.00272756, 0.00526029, 0.00821101, 0.011438, 0.0146969, 0.0186607, 0.023836, 0.0317388, 0.0418131, 0.0544059, 0.0729356, 0.102684, 0.155864, 0.204698, 0.163558, 0.0870905, 0.0872995, 0.092287, 0.0950465, 0.100555, 0.106502, 0.126066, 0.13291, 0.183635, 0.0729178, 0.00123626, 0.000616357, 0.000428616, 0.00020191, 8.8557e-05, 6.02188e-05, 6.73033e-05, 3.54228e-05, 4.60496e-05, 1, 0, 0
colorPlate_spearmint_2391  << 0.0157348, 0.038076, 0.0423338, 0.0390607, 0.0411648, 0.0464641, 0.0490322, 0.0480298, 0.0521282, 0.0551923, 0.0588692, 0.0675584, 0.0724219, 0.0798926, 0.0826591, 0.0767223, 0.0774236, 0.0572362, 0.00732189, 0.0076655, 0.00861483, 0.0107012, 0.0150972, 0.0235314, 0.0433256, 0.126849, 0.328883, 0.319521, 0.0568571, 0.0191354, 0.0101238, 0.00688974, 0.00506546, 0.0038788, 0.00338642, 0.00315263, 0.1104, 0.8896, 0
spearmint_coffeMensa_7777  << 0.00228095, 0.00755224, 0.014728, 0.0260727, 0.0439328, 0.0588736, 0.069498, 0.0814048, 0.1059, 0.08953, 0.0657001, 0.0772085, 0.0992759, 0.107035, 0.0945012, 0.0425686, 0.0109464, 0.00299034, 0.016747, 0.0190388, 0.0162777, 0.0233224, 0.0360696, 0.0636538, 0.115199, 0.180681, 0.18175, 0.1345, 0.0749548, 0.0460446, 0.0280044, 0.01959, 0.0140622, 0.0109136, 0.0109355, 0.00825616, 0, 0.3478, 0.6522
spearmint_coffeMensa_5847  << 0.0012005, 0.00443639, 0.00751404, 0.011683, 0.0169543, 0.0226894, 0.029756, 0.0397311, 0.0548192, 0.0743764, 0.102424, 0.124274, 0.139422, 0.143814, 0.116127, 0.0720682, 0.0317205, 0.00699018, 0.0169434, 0.0210688, 0.0326972, 0.0613183, 0.0927386, 0.116148, 0.118598, 0.0990194, 0.088646, 0.0838385, 0.0828399, 0.06988, 0.0402222, 0.0256962, 0.0166651, 0.0126271, 0.0103734, 0.010679, 1, 0, 0
spearmint_coffeMensa_6078  << 0.00159885, 0.00423449, 0.00823434, 0.0124961, 0.0204576, 0.0338868, 0.0460774, 0.0644068, 0.0887606, 0.127155, 0.148622, 0.154073, 0.135607, 0.0850827, 0.0468195, 0.0144278, 0.00632991, 0.00172981, 0.0111428, 0.0133747, 0.0154373, 0.0176146, 0.0233279, 0.0370845, 0.0852791, 0.225296, 0.266222, 0.165134, 0.0522381, 0.0262855, 0.0172217, 0.0117976, 0.0101824, 0.00818523, 0.00744856, 0.00672826, 0, 1, 0
spearmint_tea1_4120  << 0.00115029, 0.00377577, 0.00657248, 0.0103043, 0.0149933, 0.0208326, 0.0282832, 0.0388905, 0.0523252, 0.0699352, 0.0864783, 0.0974149, 0.106319, 0.119894, 0.127854, 0.118594, 0.0758359, 0.0205472, 0.166125, 0.171648, 0.168926, 0.14153, 0.113488, 0.0893497, 0.0608865, 0.0317165, 0.0169207, 0.0103439, 0.00671297, 0.00496997, 0.00392944, 0.00308208, 0.00289329, 0.00263865, 0.00246742, 0.00237083, 1, 0, 0
spearmint_coffeMensa_2904  << 0.00183895, 0.00625897, 0.0101606, 0.0150335, 0.0214944, 0.0278025, 0.0362987, 0.0485166, 0.0616457, 0.0786764, 0.107668, 0.109409, 0.112476, 0.107767, 0.102163, 0.0859558, 0.0503773, 0.0164578, 0.305282, 0.254189, 0.173614, 0.097497, 0.0565435, 0.036326, 0.0239827, 0.0145315, 0.00926022, 0.00634082, 0.00471469, 0.00342142, 0.00303945, 0.00258653, 0.00230823, 0.00218818, 0.00205722, 0.00211725, 1, 0, 0
spearmint_coffeMensa_2287  << 0.00171344, 0.00708841, 0.0139258, 0.0316059, 0.0698691, 0.0854101, 0.0741145, 0.077214, 0.0949159, 0.0731596, 0.073798, 0.105246, 0.101835, 0.0676918, 0.0666878, 0.0404296, 0.0123488, 0.00294668, 0.0124143, 0.0169816, 0.0156665, 0.0199665, 0.0317369, 0.052069, 0.102419, 0.178143, 0.227533, 0.146876, 0.0689851, 0.0384815, 0.0213143, 0.0197482, 0.0120596, 0.0118904, 0.0162395, 0.00747584, 0, 0, 1
cleaner_coffeMensa_8842  << 0.00244262, 0.00900718, 0.0149165, 0.0183769, 0.0212585, 0.0339995, 0.051874, 0.0800277, 0.108029, 0.125331, 0.145597, 0.164699, 0.108983, 0.0541194, 0.0293178, 0.0183451, 0.0101522, 0.00352399, 0.0468678, 0.0441135, 0.0468678, 0.0431912, 0.0363786, 0.040227, 0.0462508, 0.059081, 0.0789654, 0.103194, 0.0942891, 0.0703654, 0.0482863, 0.0429558, 0.0434393, 0.0473068, 0.0519058, 0.0563139, 0, 0, 1
coffeMensa_cleaner_8493  << 0.00208641, 0.00564857, 0.0102539, 0.0163923, 0.025374, 0.0471096, 0.0901163, 0.0911086, 0.0816371, 0.0748117, 0.0659445, 0.0692776, 0.057249, 0.0560913, 0.070499, 0.105026, 0.0999186, 0.0314551, 0.5283, 0.301925, 0.100822, 0.0332108, 0.0138479, 0.00693349, 0.00407104, 0.00259529, 0.00171111, 0.00134217, 0.00106865, 0.000776042, 0.000769681, 0.000667905, 0.000496158, 0.000489797, 0.000477075, 0.000496158, 1, 0, 0
bowl_coffeMensa_6052  << 0, 0, 0, 0, 0, 0, 0, 0, 0.000214714, 0.0113798, 0.049542, 0.0945245, 0.14395, 0.175547, 0.171193, 0.181534, 0.131774, 0.0403409, 0.162443, 0.173766, 0.186384, 0.113906, 0.0615691, 0.0427438, 0.0317966, 0.0273507, 0.0204357, 0.0236027, 0.0213703, 0.0258856, 0.0262077, 0.0224628, 0.0175181, 0.0152636, 0.0144205, 0.0128733, 1, 0, 0
bowl_cleaner_8873  << 0, 0, 0, 0, 0, 0, 0, 0, 0.000151012, 0.0180962, 0.0652497, 0.120541, 0.151272, 0.166713, 0.163953, 0.143608, 0.118574, 0.0518432, 0.326454, 0.195816, 0.122911, 0.0686055, 0.0424679, 0.0323585, 0.025156, 0.0222071, 0.0198622, 0.0222784, 0.0223665, 0.0218673, 0.0183395, 0.0143713, 0.012169, 0.0116657, 0.0101052, 0.0109987, 1, 0, 0
bowl_tea2_413  << 0, 0, 0, 2.3617e-06, 4.72341e-06, 7.08511e-06, 3.30639e-05, 0.000148787, 0.00794241, 0.0433278, 0.0947398, 0.132466, 0.154814, 0.158718, 0.145339, 0.130385, 0.098169, 0.0339023, 0.220836, 0.228615, 0.142257, 0.0790651, 0.0522055, 0.0402364, 0.0340676, 0.0300149, 0.0285152, 0.0292899, 0.0274477, 0.0225448, 0.0163713, 0.0133909, 0.0107835, 0.00837933, 0.00742756, 0.00855173, 1, 0, 0
bowl_tea1_6268  << 0, 0, 0, 0, 1.0162e-05, 5.08099e-06, 3.81074e-05, 0.000350588, 0.0103297, 0.040686, 0.0910005, 0.131105, 0.151053, 0.156329, 0.14757, 0.131793, 0.102021, 0.0377086, 0.237757, 0.207706, 0.140101, 0.0819767, 0.0556724, 0.0443189, 0.0352341, 0.0301176, 0.0269089, 0.0309127, 0.0286822, 0.0215561, 0.0157993, 0.0108505, 0.00950653, 0.00834807, 0.00762149, 0.00693047, 1, 0, 0
bowl_gum_1379  << 0, 6.87144e-05, 0.000137429, 0.00024909, 0.000601251, 0.00113379, 0.0029719, 0.00795369, 0.0205284, 0.0388236, 0.0638614, 0.0945767, 0.122707, 0.156806, 0.188535, 0.164494, 0.103441, 0.0331117, 0.0703463, 0.0762214, 0.0982186, 0.137386, 0.132344, 0.11349, 0.096913, 0.0812805, 0.076187, 0.0471209, 0.0221346, 0.0135711, 0.0091476, 0.00705181, 0.00523947, 0.00472411, 0.00455233, 0.00407133, 1, 0, 0
